sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode01	read	occurence
Mapped	3807
No mapped	402
total	4209	GC_content,mapped,occurence
47.02,1.0,16.0
47.03,1.0,26.0
47.04,1.0,8.0
47.06,0.0,1.0
47.06,1.0,26.0
47.08,1.0,10.0
47.09,1.0,2.0
47.1,0.0,1.0
47.1,1.0,10.0
47.11,1.0,2.0
47.12,1.0,3.0
47.13,1.0,7.0
47.14,0.0,1.0
47.14,1.0,4.0
47.15,1.0,6.0
47.16,1.0,2.0
47.17,1.0,1.0
47.18,1.0,2.0
47.19,1.0,5.0
47.2,1.0,6.0
47.21,1.0,8.0
47.22,0.0,1.0
47.22,1.0,6.0
47.23,1.0,8.0
47.24,0.0,1.0
47.24,1.0,2.0
47.25,1.0,6.0
47.26,1.0,5.0
47.27,0.0,1.0
47.27,1.0,4.0
47.28,1.0,6.0
47.29,1.0,8.0
47.3,1.0,2.0
47.31,0.0,1.0
47.31,1.0,42.0
47.32,1.0,2.0
47.33,0.0,3.0
47.33,1.0,24.0
47.34,0.0,1.0
47.34,1.0,4.0
47.35,1.0,5.0
47.37,0.0,1.0
47.37,1.0,14.0
47.39,1.0,10.0
47.4,0.0,2.0
47.4,1.0,5.0
47.41,1.0,10.0
47.42,1.0,2.0
47.43,1.0,3.0
47.44,1.0,8.0
47.45,0.0,1.0
47.45,1.0,1.0
47.46,1.0,28.0
47.47,1.0,11.0
47.49,1.0,11.0
47.5,1.0,2.0
47.51,1.0,10.0
47.52,1.0,1.0
47.53,1.0,3.0
47.54,1.0,2.0
47.55,1.0,4.0
47.56,1.0,3.0
47.57,1.0,6.0
47.58,1.0,6.0
47.59,1.0,6.0
47.6,1.0,2.0
47.61,0.0,1.0
47.62,1.0,9.0
47.63,1.0,1.0
47.64,1.0,12.0
47.65,1.0,2.0
47.66,0.0,1.0
47.66,1.0,8.0
47.67,1.0,3.0
47.68,1.0,14.0
47.69,0.0,1.0
47.69,1.0,4.0
47.7,1.0,3.0
47.71,0.0,1.0
47.71,1.0,10.0
47.73,1.0,8.0
47.75,0.0,1.0
47.76,1.0,5.0
47.77,1.0,3.0
47.78,1.0,2.0
